0	3.8e-07	0.000133265	5.444e-06
1	5.6e-07	0.000604811	8.289e-06
2	6.34e-07	0.000205098	7.463e-06
3	4.94e-07	8.8695e-05	5.248e-06
4	6.72e-07	0.00010049	6.489e-06
5	1.012e-06	8.7849e-05	5.329e-06
6	1.574e-06	7.4439e-05	5.947e-06
7	2.991e-06	7.6927e-05	6.837e-06
8	5.284e-06	8.2395e-05	9.862e-06
9	1.0401e-05	9.7541e-05	1.8944e-05
10	1.972e-05	0.000118135	3.3111e-05
11	4.2412e-05	0.000182566	5.1448e-05
12	8.1474e-05	0.000293393	9.2165e-05
13	0.000172425	0.000480843	0.00016004
14	0.000424066	0.000849896	0.000412201
15	0.0006512	0.00159706	0.000652869
16	0.0013336	0.00277785	0.00118737
17	0.00286728	0.00527096	0.0026216
18	0.00597558	0.0106917	0.00535986
19	0.0115426	0.0199958	0.0101588
20	0.0228895	0.0349616	0.0200701
21	0.0465078	0.069915	0.0403972
22	0.0959534	0.156468	0.0840181
